Metoda skalowania,Metoda selekcji,Elitaryzm,Prawdopodobieństwo krzyżowania,Prawdopodobieństwo mutacji,Wynik,Osiągnięty w generacji
rankingowe wykładnicze,turniejów losowych,true,0.7,0.01,0.39802,834
rankingowe wykładnicze,turniejów losowych,true,0.7,0.02,0.39794,655
rankingowe wykładnicze,turniejów losowych,true,0.7,0.03,0.39989,449
rankingowe wykładnicze,turniejów losowych,true,0.7,0.04,0.40306,648
rankingowe wykładnicze,turniejów losowych,true,0.7,0.05,0.39828,904
rankingowe wykładnicze,turniejów losowych,true,0.7,0.06,0.39841,846
rankingowe wykładnicze,turniejów losowych,true,0.7,0.07,0.3979,618
rankingowe wykładnicze,turniejów losowych,true,0.7,0.08,0.39803,373
rankingowe wykładnicze,turniejów losowych,true,0.7,0.09,0.39798,977
rankingowe wykładnicze,turniejów losowych,true,0.7,0.1,0.3987,856
rankingowe wykładnicze,turniejów losowych,true,0.7,0.2,0.39802,885
rankingowe wykładnicze,turniejów losowych,true,0.7,0.3,0.39791,570
rankingowe wykładnicze,turniejów losowych,true,0.7,0.4,0.3979,974
rankingowe wykładnicze,turniejów losowych,true,0.7,0.5,0.39798,733
rankingowe wykładnicze,turniejów losowych,true,0.7,0.6,0.39872,834
rankingowe wykładnicze,turniejów losowych,true,0.7,0.7,0.3989,786
rankingowe wykładnicze,turniejów losowych,true,0.7,0.8,0.39828,61
rankingowe wykładnicze,turniejów losowych,true,0.7,0.9,0.39795,510
