Metoda skalowania,Metoda selekcji,Elitaryzm,Prawdopodobieństwo krzyżowania,Prawdopodobieństwo mutacji,Wynik,Osiągnięty w generacji
liniowe,wyboru losowego z powtórzeniami,false,0.01,0.07,0.41353,424
liniowe,wyboru losowego z powtórzeniami,false,0.02,0.07,0.39989,42
liniowe,wyboru losowego z powtórzeniami,false,0.03,0.07,0.39989,42
liniowe,wyboru losowego z powtórzeniami,false,0.04,0.07,0.40275,36
liniowe,wyboru losowego z powtórzeniami,false,0.05,0.07,0.40467,12
liniowe,wyboru losowego z powtórzeniami,false,0.06,0.07,0.39801,302
liniowe,wyboru losowego z powtórzeniami,false,0.07,0.07,0.40213,961
liniowe,wyboru losowego z powtórzeniami,false,0.08,0.07,0.40018,33
liniowe,wyboru losowego z powtórzeniami,false,0.09,0.07,0.40112,939
liniowe,wyboru losowego z powtórzeniami,false,0.1,0.07,0.39989,42
liniowe,wyboru losowego z powtórzeniami,false,0.2,0.07,0.40361,470
liniowe,wyboru losowego z powtórzeniami,false,0.3,0.07,0.41946,774
liniowe,wyboru losowego z powtórzeniami,false,0.4,0.07,0.39797,353
liniowe,wyboru losowego z powtórzeniami,false,0.5,0.07,0.39832,551
liniowe,wyboru losowego z powtórzeniami,false,0.6,0.07,0.40557,397
liniowe,wyboru losowego z powtórzeniami,false,0.7,0.07,0.40591,93
liniowe,wyboru losowego z powtórzeniami,false,0.8,0.07,0.39845,931
liniowe,wyboru losowego z powtórzeniami,false,0.9,0.07,0.39879,973
