Metoda skalowania,Metoda selekcji,Elitaryzm,Prawdopodobieństwo krzyżowania,Prawdopodobieństwo mutacji,Wynik,Osiągnięty w generacji
rankingowe wykładnicze,wyboru losowego z powtórzeniami,false,0.2,0.01,0.47877,118
rankingowe wykładnicze,wyboru losowego z powtórzeniami,false,0.2,0.02,0.39897,626
rankingowe wykładnicze,wyboru losowego z powtórzeniami,false,0.2,0.03,0.39804,690
rankingowe wykładnicze,wyboru losowego z powtórzeniami,false,0.2,0.04,0.3979,496
rankingowe wykładnicze,wyboru losowego z powtórzeniami,false,0.2,0.05,0.40556,956
rankingowe wykładnicze,wyboru losowego z powtórzeniami,false,0.2,0.06,0.39795,473
rankingowe wykładnicze,wyboru losowego z powtórzeniami,false,0.2,0.07,0.39795,629
rankingowe wykładnicze,wyboru losowego z powtórzeniami,false,0.2,0.08,0.39803,420
rankingowe wykładnicze,wyboru losowego z powtórzeniami,false,0.2,0.09,0.39846,202
rankingowe wykładnicze,wyboru losowego z powtórzeniami,false,0.2,0.1,0.39795,620
rankingowe wykładnicze,wyboru losowego z powtórzeniami,false,0.2,0.2,0.39798,998
rankingowe wykładnicze,wyboru losowego z powtórzeniami,false,0.2,0.3,0.39791,482
rankingowe wykładnicze,wyboru losowego z powtórzeniami,false,0.2,0.4,0.39807,954
rankingowe wykładnicze,wyboru losowego z powtórzeniami,false,0.2,0.5,0.3987,483
rankingowe wykładnicze,wyboru losowego z powtórzeniami,false,0.2,0.6,0.39795,831
rankingowe wykładnicze,wyboru losowego z powtórzeniami,false,0.2,0.7,0.39999,881
rankingowe wykładnicze,wyboru losowego z powtórzeniami,false,0.2,0.8,0.39913,134
rankingowe wykładnicze,wyboru losowego z powtórzeniami,false,0.2,0.9,0.39913,795
