Metoda skalowania,Metoda selekcji,Elitaryzm,Prawdopodobieństwo krzyżowania,Prawdopodobieństwo mutacji,Wynik,Osiągnięty w generacji
bez skalowania,turniejów losowych,false,0.7,0.01,0.39802,834
bez skalowania,turniejów losowych,false,0.7,0.02,0.39794,655
bez skalowania,turniejów losowych,false,0.7,0.03,0.40697,8
bez skalowania,turniejów losowych,false,0.7,0.04,0.40306,648
bez skalowania,turniejów losowych,false,0.7,0.05,0.39828,904
bez skalowania,turniejów losowych,false,0.7,0.06,0.40168,713
bez skalowania,turniejów losowych,false,0.7,0.07,0.3979,618
bez skalowania,turniejów losowych,false,0.7,0.08,0.39796,813
bez skalowania,turniejów losowych,false,0.7,0.09,0.39798,977
bez skalowania,turniejów losowych,false,0.7,0.1,0.39841,475
bez skalowania,turniejów losowych,false,0.7,0.2,0.39808,745
bez skalowania,turniejów losowych,false,0.7,0.3,0.39798,708
bez skalowania,turniejów losowych,false,0.7,0.4,0.39796,819
bez skalowania,turniejów losowych,false,0.7,0.5,0.39876,447
bez skalowania,turniejów losowych,false,0.7,0.6,0.39858,244
bez skalowania,turniejów losowych,false,0.7,0.7,0.39897,738
bez skalowania,turniejów losowych,false,0.7,0.8,0.39836,18
bez skalowania,turniejów losowych,false,0.7,0.9,0.39908,291
