Metoda skalowania,Metoda selekcji,Elitaryzm,Prawdopodobieństwo krzyżowania,Prawdopodobieństwo mutacji,Wynik,Osiągnięty w generacji
liniowe,turniejów losowych,false,0.01,0.07,0.39878,753
liniowe,turniejów losowych,false,0.02,0.07,0.40371,616
liniowe,turniejów losowych,false,0.03,0.07,0.40048,894
liniowe,turniejów losowych,false,0.04,0.07,0.39861,963
liniowe,turniejów losowych,false,0.05,0.07,0.39833,954
liniowe,turniejów losowych,false,0.06,0.07,0.39865,988
liniowe,turniejów losowych,false,0.07,0.07,0.39796,860
liniowe,turniejów losowych,false,0.08,0.07,0.39826,951
liniowe,turniejów losowych,false,0.09,0.07,0.39824,950
liniowe,turniejów losowych,false,0.1,0.07,0.40243,812
liniowe,turniejów losowych,false,0.2,0.07,0.40546,712
liniowe,turniejów losowych,false,0.3,0.07,0.40308,992
liniowe,turniejów losowych,false,0.4,0.07,0.39943,343
liniowe,turniejów losowych,false,0.5,0.07,0.39791,731
liniowe,turniejów losowych,false,0.6,0.07,0.39825,906
liniowe,turniejów losowych,false,0.7,0.07,0.39824,816
liniowe,turniejów losowych,false,0.8,0.07,0.40113,871
liniowe,turniejów losowych,false,0.9,0.07,0.39825,969
