Metoda skalowania,Metoda selekcji,Elitaryzm,Prawdopodobieństwo krzyżowania,Prawdopodobieństwo mutacji,Wynik,Osiągnięty w generacji
rankingowe wykładnicze,turniejów losowych,false,0.01,0.07,0.39878,753
rankingowe wykładnicze,turniejów losowych,false,0.02,0.07,0.40367,537
rankingowe wykładnicze,turniejów losowych,false,0.03,0.07,0.40048,894
rankingowe wykładnicze,turniejów losowych,false,0.04,0.07,0.39861,963
rankingowe wykładnicze,turniejów losowych,false,0.05,0.07,0.39835,954
rankingowe wykładnicze,turniejów losowych,false,0.06,0.07,0.3986,953
rankingowe wykładnicze,turniejów losowych,false,0.07,0.07,0.39796,860
rankingowe wykładnicze,turniejów losowych,false,0.08,0.07,0.39835,951
rankingowe wykładnicze,turniejów losowych,false,0.09,0.07,0.39824,950
rankingowe wykładnicze,turniejów losowych,false,0.1,0.07,0.39796,863
rankingowe wykładnicze,turniejów losowych,false,0.2,0.07,0.39793,850
rankingowe wykładnicze,turniejów losowych,false,0.3,0.07,0.40493,630
rankingowe wykładnicze,turniejów losowych,false,0.4,0.07,0.39862,598
rankingowe wykładnicze,turniejów losowych,false,0.5,0.07,0.39791,731
rankingowe wykładnicze,turniejów losowych,false,0.6,0.07,0.39827,906
rankingowe wykładnicze,turniejów losowych,false,0.7,0.07,0.3979,618
rankingowe wykładnicze,turniejów losowych,false,0.8,0.07,0.39872,805
rankingowe wykładnicze,turniejów losowych,false,0.9,0.07,0.39825,969
