Metoda skalowania,Metoda selekcji,Elitaryzm,Prawdopodobieństwo krzyżowania,Prawdopodobieństwo mutacji,Wynik,Osiągnięty w generacji
liniowe,wyboru losowego z powtórzeniami,true,0.4,0.01,0.53514,866
liniowe,wyboru losowego z powtórzeniami,true,0.4,0.02,0.40891,658
liniowe,wyboru losowego z powtórzeniami,true,0.4,0.03,0.39912,608
liniowe,wyboru losowego z powtórzeniami,true,0.4,0.04,0.39989,568
liniowe,wyboru losowego z powtórzeniami,true,0.4,0.05,0.39989,41
liniowe,wyboru losowego z powtórzeniami,true,0.4,0.06,0.39845,926
liniowe,wyboru losowego z powtórzeniami,true,0.4,0.07,0.39796,876
liniowe,wyboru losowego z powtórzeniami,true,0.4,0.08,0.39795,612
liniowe,wyboru losowego z powtórzeniami,true,0.4,0.09,0.39803,574
liniowe,wyboru losowego z powtórzeniami,true,0.4,0.1,0.39803,808
liniowe,wyboru losowego z powtórzeniami,true,0.4,0.2,0.3991,757
liniowe,wyboru losowego z powtórzeniami,true,0.4,0.3,0.39832,549
liniowe,wyboru losowego z powtórzeniami,true,0.4,0.4,0.3986,846
liniowe,wyboru losowego z powtórzeniami,true,0.4,0.5,0.39828,651
liniowe,wyboru losowego z powtórzeniami,true,0.4,0.6,0.3987,981
liniowe,wyboru losowego z powtórzeniami,true,0.4,0.7,0.39821,426
liniowe,wyboru losowego z powtórzeniami,true,0.4,0.8,0.39895,628
liniowe,wyboru losowego z powtórzeniami,true,0.4,0.9,0.40076,998
