Metoda skalowania,Metoda selekcji,Elitaryzm,Prawdopodobieństwo krzyżowania,Prawdopodobieństwo mutacji,Wynik,Osiągnięty w generacji
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.01,0.07,0.39795,245
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.02,0.07,0.39878,583
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.03,0.07,0.3986,933
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.04,0.07,0.39989,584
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.05,0.07,0.39905,900
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.06,0.07,0.39795,846
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.07,0.07,0.40112,865
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.08,0.07,0.39803,512
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.09,0.07,0.39803,491
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.1,0.07,0.39989,42
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.2,0.07,0.39795,629
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.3,0.07,0.40159,830
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.4,0.07,0.39846,997
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.5,0.07,0.40334,802
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.6,0.07,0.40527,712
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.7,0.07,0.40047,430
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.8,0.07,0.39848,881
rankingowe wykładnicze,wyboru losowego z powtórzeniami,true,0.9,0.07,0.39844,540
