Metoda skalowania,Metoda selekcji,Elitaryzm,Prawdopodobieństwo krzyżowania,Prawdopodobieństwo mutacji,Wynik,Osiągnięty w generacji
bez skalowania,turniejów losowych,true,0.7,0.01,0.39802,834
bez skalowania,turniejów losowych,true,0.7,0.02,0.39794,655
bez skalowania,turniejów losowych,true,0.7,0.03,0.39989,449
bez skalowania,turniejów losowych,true,0.7,0.04,0.40306,648
bez skalowania,turniejów losowych,true,0.7,0.05,0.39828,904
bez skalowania,turniejów losowych,true,0.7,0.06,0.39841,846
bez skalowania,turniejów losowych,true,0.7,0.07,0.3979,618
bez skalowania,turniejów losowych,true,0.7,0.08,0.40049,813
bez skalowania,turniejów losowych,true,0.7,0.09,0.39798,977
bez skalowania,turniejów losowych,true,0.7,0.1,0.3987,856
bez skalowania,turniejów losowych,true,0.7,0.2,0.39808,745
bez skalowania,turniejów losowych,true,0.7,0.3,0.39805,793
bez skalowania,turniejów losowych,true,0.7,0.4,0.39791,970
bez skalowania,turniejów losowych,true,0.7,0.5,0.39789,577
bez skalowania,turniejów losowych,true,0.7,0.6,0.39801,877
bez skalowania,turniejów losowych,true,0.7,0.7,0.39963,477
bez skalowania,turniejów losowych,true,0.7,0.8,0.39828,61
bez skalowania,turniejów losowych,true,0.7,0.9,0.39835,314
